position_name
Architect
Brand Marketer
CRM Marketer
New Business Planner
Operations Planner
Application Security Engineer
Backend Architect
Backend Developer
Big Data Engineer
BI Engineer
Blockchain Developer
Blue Team Engineer
Brand Designer
Business Planner
CDO
CIO
CISO
Cloud Application Developer
Cloud Engineer
Cloud Migration Specialist
Cloud Native Engineer
Cloud Security Engineer
Community Manager
Content Designer
Content Marketer
Content Planner
CTO
Data Curator
Data Engineer
Data Governance Specialist
Data Planner
Data Platform Engineer
Data Scientist
DBA
Desktop Application Developer
Design System Manager
Developer Productivity Engineer
Developer Relations Engineer
DevOps Engineer
Digital Marketing Manager
Embedded Software Engineer
Engineering Manager
ERP Developer
FinOps Engineer
Frontend Architect
Frontend Developer
Full Stack Developer
Game Artist
Game Developer
Game Data Analyst
Game Planner
Graphics Engine Developer
Graphic Designer
Growth Hacker
Growth Manager
Head of Design
Head of Engineering
Head of Marketing
Hybrid Cloud Engineer
IaC Specialist
Interaction Designer
LLM Prompt Engineer
Marketing Data Analyst
Metaverse Developer
Mobile Developer
Motion Graphic Designer
MLOps Engineer
Network Engineer
Performance Analyst
Performance Marketer
Platform Engineer
Platform Planner
Product Manager
Project Manager
Prompt Engineer
QA Engineer
Recommendation System Engineer
Red Team Engineer
Research Scientist
Robotics Software Engineer
Scrum Master
Search Ads Specialist
Security Engineer
Security Software Engineer
SEO Specialist
Serverless Engineer
Service Designer
Service Planner
Site Reliability Engineer
Social Media Manager
Sound Designer
System Integrator
Tech Evangelist
Tech Lead
Tech PM
Technical Operations Manager
Technical Planner
Technical Program Manager
Technical Writer
Test Automation Engineer
UI/UX Designer
UI/UX Researcher
UX Planner
UX Strategist
VPoE
Web Developer
Web Master
Web Performance Engineer
3D Artist
3D Modeler
Agile Coach
AI Ethicist
AI Product Manager
AI Researcher
Analytics Engineer
Analytics Manager
Android Developer
Animations Designer
API Technical Writer
Application Architect
Automation Engineer
BI Analyst
BI Developer
Bioinformatics Scientist
Business Analyst
Business Development Manager
Business Systems Analyst
C++ Developer
Chief Data Officer
Chief Product Officer
Cloud Architect
Cloud Consultant
Cloud Database Engineer
Cloud FinOps Manager
Cloud Solutions Architect
Cloud Support Engineer
Compiler Engineer
Compliance Engineer
Computational Biologist
Computer Vision Engineer
Concept Artist
Content Strategist
Conversion Rate Optimizer (CRO)
Creative Director
Creative Technologist
Cryptographer
Customer Success Manager
Customer Support Engineer
Cybersecurity Analyst
Cybersecurity Consultant
Data Analyst
Data Architect
Data Center Technician
Data Modeler
Data Quality Analyst
Data Strategist
Data Visualization Engineer
Database Developer
Design Operations Manager (DesignOps)
Design Technologist
Developer Advocate
Director of Engineering
Director of Product Management
Director of UX
E-commerce Manager
Economist
Electrical Engineer
Email Marketing Specialist
Engineering Program Manager
Enterprise Architect
Ethical Hacker
Event Marketer
Firmware Engineer
Flutter Developer
Functional Analyst
Game Designer
Game Producer
Game QA Tester
Game Systems Designer
Go Developer (Golang)
Hardware Engineer
Head of Data
Head of Growth
Head of Product
Head of Talent
Health IT Specialist
Implementation Consultant
Implementation Manager
Incident Response Manager
Industrial Designer
Information Architect
Information Security Analyst
Infrastructure Architect
Infrastructure Engineer
Integration Engineer
iOS Developer
IT Auditor
IT Consultant
IT Director
IT Manager
IT Support Specialist
Java Developer
JavaScript Developer
Kernel Engineer
Knowledge Manager
Kotlin Developer
Kubernetes Administrator
Lead Designer
Lead Engineer
Lead Product Manager
Level Designer
Linux Systems Administrator
Localization Engineer
Localization Manager
Localization Specialist
Machine Learning Researcher
Mainframe Developer
Malware Analyst
"Manager, Software Development"
Market Research Analyst
Marketing Automation Specialist
Marketing Director
Marketing Operations Manager
Mechanical Engineer
Media Buyer
Microservices Architect
Mobile Application Tester
Mobile Architect
Mobile Product Manager
Narrative Designer
Natural Language Processing (NLP) Engineer
Network Administrator
Network Architect
Network Security Engineer
Node.js Developer
Operations Manager
Oracle DBA
Partner Manager
Partnerships Manager
PCB Designer
Penetration Tester
PHP Developer
Platform Architect
Principal Engineer
Privacy Engineer
Process Engineer
Procurement Manager
Product Analyst
Product Design Manager
Product Designer
Product Marketing Manager
Product Owner
Program Manager
Public Relations (PR) Manager
Python Developer
QA Analyst
QA Automation Engineer
QA Lead
QA Manager
QA Tester
Quantitative Analyst (Quant)
Quantitative Researcher
React Developer
React Native Developer
Release Engineer
Release Manager
Reliability Engineer
Requirements Analyst
Research Engineer
Risk Analyst
Robotics Engineer
Ruby on Rails Developer
Rust Developer
Sales Development Representative (SDR)
Sales Engineer
Sales Manager
Sales Operations Manager
Salesforce Administrator
Salesforce Developer
SAP Consultant
Scala Developer
Security Analyst
Security Architect
Security Auditor
Security Consultant
Security Operations Center (SOC) Analyst
Service Delivery Manager
Smart Contract Developer
Software Architect
Software Development Engineer in Test (SDET)
Software Engineer in Test (SET)
Solution Architect
Solutions Engineer
Sourcing Manager
SQL Developer
Staff Engineer
Statistical Analyst
Supply Chain Manager
Support Engineer
Swift Developer
System Administrator
Systems Analyst
Systems Architect
Systems Engineer
Talent Acquisition Specialist
Technical Account Manager
Technical Artist
Technical Consultant
Technical Director
Technical Sourcer
Test Engineer
Threat Intelligence Analyst
Tooling Engineer
Training Specialist
UI Artist
Unity Developer
Unreal Engine Developer
User Acquisition Manager
User Researcher
UX Copywriter
UX Engineer
UX Writer
VFX Artist
Video Editor
Video Game Designer
Video Producer
Virtual Reality Engineer
Visual Designer
Vue.js Developer
Web Analyst
Web Designer
Web3 Developer
Windows Systems Administrator
WordPress Developer
